Date,Country,State,Description,Deaths,Tesla_driver,Tesla_occupant,Other_vehicle,CP,tsla+cp,Model,Claimed,VTAD
4/10/2022, UK ,-, Two car accident ,1.0, - , - ,  1 , - , - , - , - , - 
4/8/2022, Netherlands ,-, Head-on collision with truck and Tesla ,1.0, - , - , - , - ,  1 , - , - , - 
3/26/2022, USA , CA ," DUI crash on highway, Tesla catches fire ",1.0, - , - , - , - ,  1 , - ,  1 , - 
3/21/2022, USA , CA , Three car collision involving Tesla ,2.0, - , - ,  2 , - , - , - , - , - 
3/20/2022, USA , CA , Car crosses double yellow and crashes with a Tesla ,2.0,  1 , - ,  1 , - ,  1 ,  3 , - , - 
3/14/2022, USA , CA , Tesla collides into rail on highway ,2.0,  1 ,  1 , - , - ,  1 , - , - , - 
3/14/2022, USA , FL , Tesla crash that ends in fire ,1.0,  1 , - , - , - ,  1 , - , - , - 
3/13/2022, Switzerland ,-, Frontal collision between Tesla and VW ,1.0, - , - ,  1 , - ,  1 , - , - , - 
3/12/2022, USA , NY , Tesla ignites on parkway ,1.0,  1 , - , - , - ,  1 , S , - , - 
3/7/2022, China ,-," Tesla on Autopilot hits maintenance car, then BMW hits responder ",1.0, - , - , - ,  1 ,  1 , - ,  1 , - 
3/7/2022, USA , CA , Car found overturned in a ravine ,1.0,  1 , - , - , - ,  1 , - , - , - 
3/5/2022, USA , CA , Tesla crashes head on with other car ,1.0, - , - ,  1 , - , - , - , - , - 
2/28/2022, USA , ID , Car found in water-swollen ditch ,1.0,  1 , - , - , - ,  1 , - , - , - 
2/27/2022, USA , MO , Tesla breaksdown in traffic and causes pile-up ,1.0,  1 , - , - , - ,  1 , - , - , - 
2/12/2022, USA , CA , Tesla crashes into a tree ,1.0,  1 , - , - , - ,  1 , - , - , - 
2/7/2022, USA , FL ," Tesla loses control, hits pole, ignites ",1.0,  1 , - , - , - ,  1 , - , - , - 
1/16/2022, USA , CA , Three-car collision near intersection ,1.0, - , - ,  1 , - , - , - , - , - 
1/1/2022, USA , CA , Motorcyclist crashes into Tesla ,1.0, - , - ,  1 , - , - , X , - , - 
1/1/2022, USA , CA , Single-collision on onramp ,1.0,  1 , - , - , - ,  1 , - , - , - 
12/31/2021, USA , CA , Tesla crashes into trees ,2.0,  1 ,  1 , - , - ,  2 , - , - , - 
12/28/2021, USA , CA , Multi-crash involving DUI ,1.0, - , - ,  1 , - , - , - ,  1 , - 
12/24/2021, China ,-, Tesla loses control and drives into river ,1.0,  1 , - , - , - ,  1 , - , - , - 
12/18/2021, USA , CA , Multi-car accident ,1.0, - , - ,  1 , - , - , Y , - , - 
12/11/2021, France ,-, Crash in public area including 20 injuries ,1.0, - , - , - ,  1 ,  1 , - , - , - 
12/7/2021, USA , AZ , Vehicular collision ,1.0,  1 , - , - , - ,  1 , - , - , - 
12/7/2021, Germany ,-," Tesla crashes into trees, flames erupt ",1.0,  1 , - , - , - ,  1 , - , - , - 
12/2/2021, China ,-, Motorbiker killed by Tesla ,1.0, - , - ,  1 , - , - , - , - , - 
12/1/2021, USA , CA ," Collision with pole, battery ignited ",1.0,  1 , - , - , - ,  1 ,  3 , - , - 
11/29/2021, USA , CA , DUI crash with parked car ,1.0, - , - ,  1 , - , - , - , - , - 
11/15/2021, USA , CA , Pedestrian hit at crosswalk ,1.0, - , - , - , - ,  1 , - , - , - 
11/8/2021, USA , AZ , Three car collision ,1.0, - , - ,  1 , - , - , - , - , - 
11/8/2021, USA , OH ," Tesla hits fixture, catches fire ",1.0,  1 , - , - , - ,  1 , - , - , - 
11/6/2021, USA , NV , DUI crash ,1.0, - ,  1 , - , - ,  1 , Y , - , - 
11/4/2021, USA , FL , Tesla hits bicyclist before crashing ,1.0, - , - , - ,  1 ,  1 , - , - , - 
10/28/2021, USA , GA , Multi-collision event on highway ,1.0, - , - ,  1 , - , - , - , - , - 
10/15/2021, USA , AZ , Toyota hits Tesla ,1.0, - , - ,  1 , - , - , - , - , - 
9/17/2021, USA , IA , Three-way car collision ,1.0, - , - ,  1 , - , - , - , - , - 
9/13/2021, USA , FL ," Tesla suffers suspension failure, hits tree, and ignites on fire ",2.0,  1 ,  1 , - , - ,  2 ,  3 , - , - 
9/4/2021, China ,-, Tesla hit pedestrian crossing road ,1.0, - , - , - ,  1 ,  1 , - , - , - 
9/4/2021, USA , FL ," Tesla runs stop sign, crashes into house ",2.0, - ,  1 , - ,  1 ,  2 , S , - , - 
8/29/2021, USA , NY ," Car hits utility pole, ignites ",2.0,  1 ,  1 , - , - ,  2 ,  3 , - , - 
8/26/2021, Netherlands ,-, Tesla hits tree ,1.0,  1 , - , - , - ,  1 , - , - , - 
8/25/2021, USA , AZ , Tesla runs a red light and hits another car ,3.0, - , - ,  3 , - , - , - , - , - 
8/17/2021, USA , PA , Tesla crashes into guardrail ,1.0,  1 , - , - , - ,  1 ,  3 , - , - 
7/26/2021, Netherlands ,-," Four vehicle collision, Tesla catches fire ",1.0,-,-,-, - ,-, - , - , - 
7/26/2021, USA , NY , Pedestrian hit on shoulder ,1.0, - , - , - ,  1 ,  1 , - ,  1 ,  1 
7/23/2021, USA , GA , Tesla Driver loses control and hits median barrier ,1.0,  1 , - , - , - ,  1 ,  3 , - , - 
7/21/2021, USA , GA , Tesla driver hits man on shoulder of highway ,1.0, - , - , - ,  1 ,  1 , - , - , - 
7/7/2021, USA , CA , Other driver dies in head-on collision ,1.0, - , - ,  1 , - , - , S , - , - 
6/29/2021, USA , CA ," Car crashes into Tesla, fire breaks out ",2.0,  1 , - ,  1 , - ,  1 , - , - , - 
6/19/2021, USA , MI ," Tesla hits power pole, runs off road, and ignites ",2.0,  1 ,  1 , - , - ,  2 , - , - , - 
6/16/2021, USA , FL ," Tesla crashes, driver later dies in hospital ",1.0,  1 , - , - , - ,  1 , - , - , - 
6/16/2021, Denmark ,-," Driver loses control of car, crashes into tree ",1.0,  1 , - , - , - ,  1 , - , - , - 
6/11/2021, USA , WA , Tesla crashes through backyard fence ,1.0,  1 , - , - , - ,  1 , - , - , - 
6/11/2021, USA , NY , Driver crashes into senior living facility ,1.0, - ,  1 , - , - ,  1 , - , - , - 
6/1/2021, USA , WA ," Tesla hits concrete barrier, later catches on fire ",1.0,  1 , - , - , - ,  1 , - , - , - 
5/26/2021, USA , VA , Tesla involved in multi-car highway accident ,4.0, - , - ,  4 , - , - , - , - , - 
5/15/2021, China ,-, Tesla hits police officers and kills one ,1.0, - , - , - ,  1 ,  1 , - , - , - 
5/7/2021, China ,-, Tesla runs into back of truck ,1.0,  1 , - , - , - ,  1 , - , - , - 
5/5/2021, USA , CA , Multi-event collision with truck on highway ,1.0,  1 , - , - , - ,  1 , - ,  1 , - 
4/17/2021, USA , TX ," Tesla crashes into tree, bursts into fire ",2.0,-,-, - , - ,  2 , S ,  2 , - 
4/17/2021, China ,-, Tesla hits concrete barrier and spontaneously combusts ,1.0, - ,  1 , - , - ,  1 , - , - , - 
4/16/2021, France ,-, Tesla crashes into tree with 5 occupants ,2.0,-,-, - , - ,  2 , - , - , - 
4/14/2021, USA , TX , Head-on collision involving a Tesla ,1.0,  1 ,-,-,-,  1 , - , - , - 
4/13/2021, Germany ,-," Tesla goes off road, hits a tree, and bursts into flames ",1.0,  1 , - , - , - ,  1 , S , - , - 
4/3/2021, USA , PA ," Tesla loses control, hits railing and cut in half ",2.0,  1 ,  1 , - , - ,  2 , - , - , - 
4/1/2021, China ,-," Driver hit traffic island, Tesla catches on fire ",1.0,  1 , - , - , - ,  1 ,  3 , - , - 
3/21/2021, UK ,-," Pedestrian hit in collision, later dies in hospital weeks later ",1.0, - , - , - ,  1 ,  1 , - , - , - 
3/20/2021, Belgium ,-," Driver runs over curb, loses control and hit pole ",1.0,  1 , - , - , - ,  1 , - , - , - 
3/13/2021, UK ,-, Tesla crashes into stationary van ,1.0, - , - ,  1 , - , - ,  3 , - , - 
3/10/2021, USA , CA ," Tesla crashes into tree, occupants killed ",2.0,  1 ,  1 , - , - ,  1 , - , - , - 
3/7/2021, USA , OH , 3 car collision near intersection ,1.0, - , - ,  1 , - , - , - , - , - 
2/22/2021, USA , CA , High speed crash into telephone poll ,1.0,  1 , - , - , - ,  1 , - , - , - 
1/22/2021, USA , AZ ," Tesla crashes into tree, occupants killed ",2.0,  1 ,  1 , - , - ,  2 , - , - , - 
1/21/2021, USA , CO ," Tesla hits car and car crashes, driver later dies ",1.0, - , - ,  1 , - , - , - , - , - 
1/15/2021, USA , FL ," Head-on collision involving a Tesla, other driver dies ",1.0, - , - ,  1 , - , - , - , - , - 
1/10/2021, USA , UT ," Car collides with Tesla, both drivers die ",2.0,  1 , - ,  1 , - , - , - , - , - 
12/18/2020, Portugal ,-, Tesla driver crashes into pole and dies in resulting fire ,1.0,  1 ,-, - , - ,  1 , - , - , - 
12/11/2020, USA , FL ," Pedestrians hit and run by Tesla, one died from injuries ",1.0, - , - , - ,  1 ,  1 , - , - , - 
12/9/2020, South Korea ,-," Car goes out of control and crashes into a wall, ignites ",1.0, - ,  1 , - , - ,  1 , X ,  1 , - 
12/4/2020, USA , CA ," Car loses control, goes airborne, hits telephone pole ",1.0, - ,  1 , - , - ,  1 , - , - , - 
11/16/2020, USA , MO , Five-vehicle pileup involving truck ,1.0, - , - ,  1 , - , - , Y , - , - 
10/31/2020, USA , CA ," Car hit by a Tesla, driver later died from injuries ",1.0, - , - ,  1 , - , - , Y , - , - 
10/10/2020, USA , CA , Motorcyclist died after rear-ending a Tesla ,1.0, - , - ,  1 , - , - , Y , - , - 
10/7/2020, Belgium ,-," Driver going wrong direction hits Tesla, driver later dies ",1.0, - , - ,  1 , - , - ,  3 ,-, - 
9/17/2020, USA , GA ," Car loses control, hits bus shelter ",1.0,-,-,-,  1 ,  1 ,  3 ,  1 ,-
9/12/2020, USA , CA ," Car lands on Tesla, other vehicle driver dies ",1.0, - , - ,  1 , - , - , - , - , - 
9/6/2020, USA , IL ," Tesla runs thru red light, crashes, driver dies at scene ",1.0,  1 , - , - , - ,  1 , - , - , - 
9/5/2020, China ,-," Tesla crashes into crowd, 2 dead and several injured ",2.0, - , - , - ,  2 ,  2 , X , - , - 
8/24/2020, USA , VA ," Two car collision at intersection, other driver dies afterwards ",1.0, - , - ,  1 , - , - , X , - , - 
8/13/2020, Germany ,-, Tesla crashes into tree ,1.0,  1 , - , - , - ,  1 , X ,  1 , - 
8/12/2020, USA , CA , Tesla hits two cars along exit ramp & catches fire ,2.0,  1 ,  1 , - , - ,  1 , - ,  1 , - 
8/2/2020, USA , CA ," Tesla crashes into tree, ignites, kills driver and passenger ",2.0,  1 ,  1 , - , - ,  1 , - , - , - 
7/18/2020, USA , UT ," Tesla races other car, other car crashes ",1.0, - , - ,  1 , - , - , - , - , - 
6/23/2020, USA , GA , Vehicle collides with Tesla at intersection ,1.0, - , - ,  1 , - , - , - , - , - 
6/21/2020, Germany ,-," Tesla veers into other lane, crashes into oncoming car ",3.0, - , - ,  3 , - , - ,  3 ,  1 , - 
6/17/2020, Canada ,-, Motorcyclist killed in crash with Tesla ,1.0, - , - ,  1 , - , - , - ,-, - 
6/8/2020, Netherlands ,-, Driver has heart attack and crashes Tesla ,1.0,  1 , - , - , - ,  1 ,  3 , - , - 
5/25/2020, USA , CA , Tesla goes off cliff and later found ,1.0,  1 , - , - , - ,  1 , - , - , - 
5/14/2020, USA , CA , Two-car collision ,1.0, - , - ,  1 , - , - ,  3 ,  1 ,-
5/5/2020, USA , CA , Drunk driver strikes Tesla ,1.0, - , - ,  1 , - , - , - , - , - 
5/4/2020, Norway ,-, Tesla strikes and kills a man standing next to his truck ,1.0, - , - ,  1 , - , - , S ,  1 ,  1 
4/24/2020, Netherlands ,-," Tesla runs off road, crashes, catches fire ",1.0,  1 , - , - , - ,  1 , - , - , - 
4/3/2020, Taiwan ,-, Tesla rolls over and catches on fire ,1.0,  1 , - , - , - ,  1 ,  3 , - , - 
4/1/2020, USA , OH , Tesla drive off road into tree ,1.0,  1 , - , - , - ,  1 ,  3 , - , - 
3/8/2020, USA , GA , Motorcyclist rear ends Tesla ,1.0, - , - ,  1 , - , - , - , - , - 
3/4/2020, Netherlands ,-, Three car collision ,1.0, - , - ,  1 , - , - , - , - , - 
2/24/2020, USA , CA , Driver dies as Tesla goes down embankment ,1.0,  1 , - , - , - ,  1 , - , - , - 
2/24/2020, Canada ,-, Tesla drives off cliff ,3.0,  1 ,  2 , - , - ,  3 ,  3 , - , - 
1/31/2020, USA , FL , Nissan in front of Tesla loses control ,1.0, - , - ,  1 , - , - ,  3 , - , - 
1/26/2020, USA , NJ , Tesla crashes into car at toll booth ,1.0, - , - ,  1 , - , - , X , - , - 
1/21/2020, Germany ,-, Sudden unintended acceleration kills store patron ,1.0, - , - , - ,  1 ,  1 , S , - , - 
1/19/2020, Taiwan ,-," Tesla t-bones sedan, kills pedestrian ",1.0, - , - , - ,  1 ,  1 , X , - , - 
1/18/2020, USA , CA ," Tesla strikes sign, burns ",1.0,  1 , - , - , - ,  1 , S , - , - 
1/5/2020, USA , UT ," Tesla runs red, strikes car, burns ",2.0, - , - ,  2 , - , - , - , - , - 
1/4/2020, USA , FL , Tesla strikes Mercury ,1.0, - , - ,  1 , - , - ,  3 , - , - 
12/29/2019, USA , IN , Tesla rear ends parked fire truck ,1.0, - ,  1 , - , - ,  1 ,  3 ,  1 ,  1 
12/29/2019, USA , CA , Tesla runs red light after exiting freeway ,2.0, - , - ,  2 , - , - , S ,  2 ,  2 
12/23/2019, Slovenia ,-, Drunk driver strikes Tesla ,1.0, - , - ,  1 , - , - , S , - , - 
12/19/2019, USA , FL , Police SUV strikes Tesla ,2.0,  1 ,  1 , - , - ,  2 , - , - , - 
12/11/2019, USA , CA , Tesla strikes turning Lexus ,1.0, - , - ,  1 , - , - , X , - , - 
12/10/2019, USA , NV , Kia rear ends Tesla ,1.0, - , - ,  1 , - , - , - , - , - 
12/1/2019, USA , TX , Struck Ford veers into Tesla's lane ,2.0, - , - ,  2 , - , - , - , - , - 
11/24/2019, Taiwan ,-," Tesla strikes divider, driver falls to death ",1.0,  1 , - , - , - ,  1 ,  3 , - , - 
11/22/2019, USA , CA , Tire strikes Tesla ,1.0,  1 , - , - , - ,  1 , - , - , - 
11/21/2019, USA , CA , Tesla kills pedestrian ,1.0, - , - , - ,  1 ,  1 , S , - , - 
11/20/2019, Austria ,-, Tesla strikes impact attenuator ,1.0,  1 , - , - , - ,  1 ,  3 , - , - 
11/20/2019, USA , FL , Tesla turns into oncoming traffic ,1.0,  1 , - , - , - ,  1 ,  3 , - , - 
11/20/2019, USA , CA , Tesla in multi vehicle crash ,1.0, - , - ,  1 , - , - , - , - , - 
11/14/2019, Germany ,-, Tesla kills pedestrian ,1.0, - , - , - ,  1 ,  1 ,  3 , - , - 
11/10/2019, USA , FL , Wrong way driver strikes Tesla ,1.0, - , - ,  1 , - , - , - , - , - 
11/7/2019, USA , CA , Two car collision ,1.0, - , - ,  1 , - , - ,  3 , - , - 
11/1/2019, Norway ,-, Three car collision ,1.0, - , - , - , - , - , S , - , - 
10/19/2019, USA , PA ," Man thrown from vehicle, struck by Tesla ",1.0, - , - ,  1 , - , - , X ,  1 ,-
10/17/2019, Germany ,-, Tesla turns into oncoming motorcyclist ,1.0, - , - ,  1 , - , - , S , - , - 
10/12/2019, USA , CA ," Wrong way driver strikes Tesla, Tesla burns ",1.0, - , - ,  1 , - , - , S , - , - 
9/22/2019, USA , NV , Tesla runs red light ,1.0, - , - ,  1 , - , - ,  3 , - , - 
9/17/2019, USA , FL , Tesla into oncoming traffic ,1.0,  1 , - , - , - ,  1 , - ,  1 , - 
9/11/2019, USA , OH , Subaru strikes Tesla ,1.0, - , - ,  1 , - , - , S , - , - 
9/11/2019, USA , VA , Tesla kills motorcyclist ,1.0, - , - ,  1 , - , - , S , - , - 
9/8/2019, USA , CA , Honda rear ends Tesla ,1.0, - , - ,  1 , - , - , - , - , - 
9/7/2019, USA , PA ," Tesla drives through T intersection, into woods ",1.0, - ,  1 , - , - ,  1 ,  3 , - , - 
9/1/2019, Germany ,-, Tesla into oncoming traffic ,2.0, - , - ,  2 , - , - , - , - , - 
8/24/2019, USA , CA , Tesla rear ends Ford ,1.0, - , - ,  1 , - , - ,  3 ,  1 ,  1 
8/15/2019, Germany ,-, Tesla kills motorcyclist ,1.0, - , - ,  1 , - , - , S , - , - 
7/21/2019, USA , DE ," Tesla drives into office building, kills occupant ",1.0, - , - , - ,  1 ,  1 ,  3 , - , - 
7/21/2019, USA , CA , Tesla kills pedestrian ,1.0, - , - , - ,  1 ,  1 ,  3 , - , - 
7/13/2019, USA , CA , Tesla kills pedestrian ,1.0, - , - , - ,  1 ,  1 , - , - , - 
7/8/2019, USA , IA , Car drifts into Tesla's lane ,1.0, - , - ,  1 , - , - , S , - , - 
6/30/2019, USA , CA , Single car crash near Menifee ,1.0,  1 , - , - , - ,  1 ,  3 ,  1 , - 
6/7/2019, Ukraine ,-, Tesla strikes construction vehicle ,1.0, - ,  1 , - , - ,  1 , X , - , - 
6/4/2019, USA , CA , Six vehicle crash ,1.0, - , - ,  1 , - , - , S , - , - 
5/31/2019, USA , CA , Tesla rear ends Ford ,1.0, - , - ,  1 , - , - , - , - , - 
4/30/2019, Spain ,-, Car drifts into Tesla's lane ,1.0, - , - ,  1 , - , - , S , - , - 
4/25/2019, USA , FL , Tesla kills pedestrian ,1.0, - , - , - ,  1 ,  1 , S ,  1 ,  1 
4/15/2019, USA , CA , Tesla strikes on-ramp curb ,1.0, - ,  1 , - , - ,  1 , - , - , - 
3/18/2019, Canada ,-," Tesla strikes pole, burns ",1.0,  1 , - , - , - ,  1 , X , - , - 
3/10/2019, USA , FL , BMW strikes Tesla ,1.0, - ,  1 , - , - ,  1 ,  3 , - , - 
3/1/2019, USA , FL , Autopilot into 18 wheeler ,1.0,  1 , - , - , - ,  1 ,  3 ,  1 ,  1 
2/24/2019, USA , FL ," Tesla crashes into tree, burns ",1.0,  1 , - , - , - ,  1 , S , - , - 
2/18/2019, USA , CA , Tesla rear ends stopped car ,1.0,  1 , - , - , - ,  1 , S , - , - 
1/30/2019, Holland ,-, Driver mistakenly believes Autopilot is on ,1.0, - , - ,  1 , - , - , S ,  1 , - 
12/30/2018, USA , VA ," Early morning, single car collision ",1.0,  1 , - , - , - ,  1 ,  3 , - , - 
12/26/2018, USA , NH , Burned in New Ipswich crash ,1.0, - ,  1 , - , - ,  1 , X , - , - 
11/15/2018, Denmark ,-, Tesla into oncoming traffic ,1.0, - , - ,  1 , - , - , S , - , - 
11/10/2018, USA , FL , Tesla kills motorcyclist ,1.0, - , - ,  1 , - , - , X , - , - 
11/9/2018, USA , CA , Tesla crashes into tree ,2.0, - ,  2 , - , - ,  2 , S , - , - 
10/26/2018, Canada ,-, Tesla drives off road ,1.0, - ,  1 , - , - ,  1 , S , - , - 
9/21/2018, USA , CA , Single car collision in Anaheim on SR-91 ,1.0,  1 , - , - , - ,  1 , S , - , - 
9/15/2018, Japan ,-, Tesla rear ends stopped car ,2.0, - , - ,  2 , - , - , X , - , - 
8/4/2018, Holland ,-, Tesla crashes into tree ,1.0, - ,  1 , - , - ,  1 , S ,-, - 
