Date,Country,State,Description,Deaths,Tesla_driver,Tesla_occupant,Other_vehicle,CP,tsla+cp,Model,Claimed,VTAD
1/17/2023, USA ,CA, Tesla crashes into back of semi ,1.0,  1 , - , - , - ,  1 , - , - , - 
1/7/2023, Canada ,-, Tesla crashes ,1.0,  1 , - , - , - ,  1 , - , - , - 
1/7/2023, USA ,WA," Tesla hits pole, catches on fire ",1.0, - ,  1 , - , - ,  1 , - , - , - 
12/22/2022, USA ,GA, Tesla crashes and burns ,1.0,  1 , - , - , - ,  1 , - , - , - 
12/19/2022, Canada ,-, Tesla crashes into storefront ,1.0, - , - , - ,  1 ,  1 , - , - , - 
12/18/2022, USA ,CA, Tesla hit two other cars ,1.0, - ,  1 , - , - , - , - , - , - 
12/17/2022, USA ,CA, Tesla hits pedestrian on highway ,1.0, - , - , - ,  1 ,  1 , - , - , - 
12/11/2022, USA ,CA, Tesla crashes into wall ,1.0,  1 , - , - , - , - , - , - , - 
12/11/2022, USA ,MO, Collision at intersection ,1.0, - , - ,  1 , - , - , - , - , - 
12/6/2022, Canada ,-," Tesla veers, collides with truck ",1.0,  1 , - , - , - , - , - , - , - 
11/28/2022, China ,-," Tesla runs red light, collides with two cars ",2.0, - , - ,  2 , - , - , Y , - , - 
11/27/2022, USA ,CA," Tesla careens off road, hits trees ",1.0,  1 , - , - , - ,  1 , - , - , - 
11/26/2022, USA ,AR, Tesla hits pedestrian ,1.0, - , - , - ,  1 ,  1 , - , - , - 
11/18/2022, China ,-, Tesla crashes into dump truck ,1.0,  1 , - , - , - ,  1 , - , - , - 
11/12/2022, Mexico ,-, Tesla hits Toyota ,1.0, - , - ,  1 , - , - , - , - , - 
11/12/2022, USA ,CA, Multi-vehicle accident ,1.0, - , - ,  1 , - , - , - , - , - 
11/11/2022, USA ,CA," Tesla hits wall, catches fire ",1.0, - ,  1 , - , - , - , - ,  1 , - 
11/5/2022, China ,-, Out of control Tesla hits bicyclist and motorcyclist ,2.0, - , - ,  1 ,  1 ,  1 , - , - , - 
11/4/2022, USA ,IL," Collision at intersection, Tesla driver dies in hospital ",1.0,  1 , - , - , - ,  1 , - , - , - 
10/19/2022, USA ,CA, Multicar crash ,1.0,  1 , - , - , - ,  1 ,  1 , - , - 
10/18/2022, USA ,FL," Tesla collides with minivan, engulfed by flames ",4.0,  1 ,  1 ,  2 , - ,  2 , - , - , - 
10/12/2022, UK ,-, Tesla crashes into ditch ,1.0,  1 , - , - , - ,  1 ,  2 , - , - 
10/9/2022, USA ,CA, Tesla hits concrete block ,1.0, - ,  1 , - , - ,  1 , - , - , - 
10/1/2022, USA ,FL, Tesla hits tree and catches fire ,1.0,  1 , - , - , - ,  1 , - , - , - 
9/18/2022, USA ,SC," Tesla crashes into tree, ignites ",2.0,  1 ,  1 , - , - ,  2 , - , - , - 
9/18/2022, USA ,MD, Multi-car accident ,1.0, - , - ,  1 , - , - , - , - , - 
9/16/2022, USA ,GA," Tesla loses control and crashes into bus shelter, kills man inside ",1.0, - , - , - ,  1 ,  1 , - ,  1 , - 
9/13/2022, USA ,CA, Tesla runs off highway ,1.0,  1 , - , - , - ,  1 , - , - , - 
9/12/2022, USA ,NY," Tesla runs off road, catches fire ",1.0,  1 , - , - , - , - , - ,-,-
9/7/2022, USA ,CA, Motorcycle collides with Tesla ,1.0,  1 , - , - , - , - , - , - , - 
8/30/2022, USA ,CA, Tesla hits motorcycle ,1.0, - , - ,  1 , - , - , - ,-, - 
8/26/2022, USA ,FL, Tesla hits motorcycle ,1.0, - , - ,  1 , - , - ,  3 ,-,  1 
8/24/2022, USA ,MA, Motorcyclist hits Tesla ,1.0, - , - ,  1 , - , - , - ,-, - 
8/23/2022, USA ,SC, Multi-car accident on highway ,2.0, - , - ,  2 , - , - ,  3 ,-,  2 
8/21/2022, UK ,-," Car drives thru garage, hits Tesla, lands on railroad tracks ",1.0, - , - ,  1 , - , - , - ,-, - 
8/20/2022, USA ,FL," Tesla swerves, runs off roadway, overturns ",1.0,  1 , - , - , - ,  1 , S ,-, - 
8/20/2022, USA ,FL, Pedestrian hit in road ,1.0, - , - , - ,  1 ,  1 , - ,-, - 
8/16/2022, Germany ,-," Tesla car crashes into tree, burns ",3.0, - , - , - , - ,  3 , - ,-, - 
8/14/2022, USA ,CA, Tesla veers into oncoming traffic ,4.0,  1 ,  3 , - , - ,  4 , - ,-, - 
8/14/2022, Finland ,-, Unlicensed driver hits pedestrian ,1.0, - , - , - ,  1 ,  1 , - ,-, - 
8/2/2022, USA ,FL, Man in wheelchair hit crossing road ,1.0, - , - , - ,  1 ,  1 ,  3 ,-, - 
7/27/2022, Canada ,-, Tesla hits cyclist ,1.0, - , - , - ,  1 ,  1 , - ,-, - 
7/27/2022, USA ,ME, Tesla crashes at high speed ,1.0,  1 , - , - , - ,  1 , - ,-, - 
7/24/2022, USA ,UT, Tesla hits motorcycle ,1.0, - , - ,  1 , - , - ,  3 ,  1 ,  1 
7/16/2022, USA ,PA, Tesla goes airborne and crashes ,1.0,  1 , - , - , - ,  1 , - , - , - 
7/12/2022, China ,-, Out of control Tesla hits pedestrians ,2.0, - , - , - ,  2 ,  2 , Y , - , - 
7/8/2022, USA ,CA, 3-car accident involving Tesla ,1.0, - , - ,  1 , - , - , - , - , - 
7/8/2022, USA ,HA, Motorcycle crashes into Tesla ,1.0, - , - ,  1 , - , - , - , - , - 
7/7/2022, USA ,CA, Motorcycle hit by Tesla ,1.0, - , - ,  1 , - , - , Y ,  1 ,  1 
7/6/2022, USA ,FL, Tesla hits parked tractor-trailer ,2.0,  1 ,  1 , - , - ,  2 , - ,  2 ,  2 
7/5/2022, USA ,GA," Tesla strikes pole, burns ",1.0,  1 , - , - , - ,  1 , - , - , - 
6/26/2022, USA ,CA, Tesla drives into opposite lane ,1.0, - , - ,  1 , - , - , - , - , - 
6/20/2022, USA ,AL, Tesla crashes into car ,1.0, - , - ,  1 , - , - , - , - , - 
6/20/2022, USA ,PA, Tesla hit and run ,1.0, - , - , - ,  1 ,  1 , - , - , - 
6/20/2022, Canada ,-, Tesla runs into overpass ,1.0,  1 , - , - , - ,  1 , - , - , - 
6/19/2022, USA , MI ," Tesla hits telephone pole, ignites ",2.0,  1 ,  1 , - , - ,  2 , - , - , - 
6/17/2022, USA , CA , Head-on collision ,2.0,  1 ,  1 , - , - ,  2 , - , - , - 
6/14/2022, USA , CA , Tesla moves into opposite lane and head-on crashes ,1.0, - , - ,  1 , - , - , - , - , - 
6/13/2022, USA , CA , Two-car collision ,1.0,  1 , - , - , - ,  1 , - , - , - 
6/7/2022, USA , CA , DUI crash ,1.0, - , - , - ,  1 ,  1 , - , - , - 
6/3/2022, USA , NV , Motorcycle crashes into Tesla ,1.0, - , - ,  1 , - , - , - , - , - 
5/28/2022, USA , NY , Tesla DUI crash ,1.0, - , - ,  1 , - , - , - , - , - 
5/28/2022, USA , OR , Tesla loses control and crashes into car ,2.0,  1 , - ,  1 , - ,  1 , Y , - , - 
5/28/2022, USA , CA , Speeding tesla crashes into tree ,1.0,  1 , - , - , - ,  1 , - , - , - 
5/25/2022, USA , OR , Tesla crashes into pole ,1.0, - ,  1 , - , - ,  1 , S , - , - 
5/23/2022, USA , AZ , Tesla driver hit in multicar accident ,1.0,  1 , - , - , - ,  1 , - , - , - 
5/21/2022, China ,-, Tesla hits pedestrian ,1.0, - , - , - ,  1 ,  1 , - , - , - 
5/19/2022, USA , NJ ," Tesla hits trees, ignites ",1.0,  1 , - , - , - ,  1 , - , - , - 
5/19/2022, USA , NJ , Multiple car crash on highway ,1.0,  1 , - , - , - ,  1 , - , - , - 
5/18/2022, USA , CA , Tesla hits pedestrian ,1.0, - , - , - ,  1 ,  1 ,  3 ,  1 , - 
5/17/2022, USA , CO , Fiery crash ,1.0,  1 ,-,-,-,  1 ,  3 ,  1 , - 
5/12/2022, Australia ,-, Tesla hit pedestrian who dies 5 days later from injuries ,1.0, - , - , - ,  1 ,  1 , X , - , - 
5/11/2022, USA , CA , Tesla smashes into construction equipment ,3.0,  1 ,  2 , - , - ,  3 , S ,  1 , - 
5/7/2022, USA , UT , Tesla DUI involving another vehicle ,2.0, - , - ,  2 , - , - , - , - , - 
5/1/2022, USA , PA , Tesla DUI hits pedestrian ,1.0, - , - , - ,  1 ,  1 , - , - , - 
4/29/2022, USA , NC ," Highway accident, Tesla goes airborne  ",1.0,  1 , - , - , - , - , - , - , - 
4/14/2022, USA ,FL, Crash with motorcycle ,1.0,-,-,  1 ,-,-, Y ,  1 ,-
